Driver ID,2024-09-11T13:00:00+02:00,2024-09-11T13:30:00+02:00,2024-09-11T14:00:00+02:00,2024-09-11T14:30:00+02:00,2024-09-11T15:00:00+02:00,2024-09-11T15:30:00+02:00,2024-09-11T16:00:00+02:00,2024-09-11T16:30:00+02:00,2024-09-11T17:00:00+02:00,2024-09-11T17:30:00+02:00,2024-09-11T18:00:00+02:00,2024-09-11T18:30:00+02:00,2024-09-11T19:00:00+02:00,2024-09-11T19:30:00+02:00,2024-09-11T20:00:00+02:00,2024-09-11T20:30:00+02:00,2024-09-11T21:00:00+02:00,2024-09-11T21:30:00+02:00,2024-09-11T22:00:00+02:00,2024-09-11T22:30:00+02:00,2024-09-11T23:00:00+02:00,2024-09-11T23:30:00+02:00,2024-09-12T00:00:00+02:00,2024-09-12T13:00:00+02:00,2024-09-12T13:30:00+02:00,2024-09-12T14:00:00+02:00,2024-09-12T14:30:00+02:00,2024-09-12T15:00:00+02:00,2024-09-12T15:30:00+02:00,2024-09-12T16:00:00+02:00,2024-09-12T16:30:00+02:00,2024-09-12T17:00:00+02:00,2024-09-12T17:30:00+02:00,2024-09-12T18:00:00+02:00,2024-09-12T18:30:00+02:00,2024-09-12T19:00:00+02:00,2024-09-12T19:30:00+02:00,2024-09-12T20:00:00+02:00,2024-09-12T20:30:00+02:00,2024-09-12T21:00:00+02:00,2024-09-12T21:30:00+02:00,2024-09-12T22:00:00+02:00,2024-09-12T22:30:00+02:00,2024-09-12T23:00:00+02:00,2024-09-12T23:30:00+02:00,2024-09-13T00:00:00+02:00,2024-09-14T13:00:00+02:00,2024-09-14T13:30:00+02:00,2024-09-14T14:00:00+02:00,2024-09-14T14:30:00+02:00,2024-09-14T15:00:00+02:00,2024-09-14T15:30:00+02:00,2024-09-14T16:00:00+02:00,2024-09-14T16:30:00+02:00,2024-09-14T17:00:00+02:00,2024-09-14T17:30:00+02:00,2024-09-14T18:00:00+02:00,2024-09-14T18:30:00+02:00,2024-09-14T19:00:00+02:00,2024-09-14T19:30:00+02:00,2024-09-14T20:00:00+02:00,2024-09-14T20:30:00+02:00,2024-09-14T21:00:00+02:00,2024-09-14T21:30:00+02:00,2024-09-14T22:00:00+02:00,2024-09-14T22:30:00+02:00,2024-09-14T23:00:00+02:00,2024-09-14T23:30:00+02:00,2024-09-15T00:00:00+02:00,2024-09-15T13:00:00+02:00,2024-09-15T13:30:00+02:00,2024-09-15T14:00:00+02:00,2024-09-15T14:30:00+02:00,2024-09-15T15:00:00+02:00,2024-09-15T15:30:00+02:00,2024-09-15T16:00:00+02:00,2024-09-15T16:30:00+02:00,2024-09-15T17:00:00+02:00,2024-09-15T17:30:00+02:00,2024-09-15T18:00:00+02:00,2024-09-15T18:30:00+02:00,2024-09-15T19:00:00+02:00,2024-09-15T19:30:00+02:00,2024-09-15T20:00:00+02:00,2024-09-15T20:30:00+02:00,2024-09-15T21:00:00+02:00,2024-09-15T21:30:00+02:00,2024-09-15T22:00:00+02:00,2024-09-15T22:30:00+02:00,2024-09-15T23:00:00+02:00,2024-09-15T23:30:00+02:00,2024-09-16T00:00:00+02:00,
520346,,,,1:54.988,1:55.797,1:54.752,0:00.000,1:55.245,0:00.000,0:00.000,1:54.320,,,,,,,,,,,,,,0:00.000,2:01.206,2:00.562,2:00.770,2:00.055,2:00.007,,,,,,,,,,0:00.000,,,,,,,,,,,1:54.314,1:55.257,,,,,1:54.828,1:54.326,0:00.000,,,,1:55.104,1:54.416,0:00.000,1:54.516,,,,,,,,,,,,,2:00.008,1:59.913,0:00.000,,,,,,,,,,,0:00.000,
911231,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,1:51.783,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,0:00.000,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,1:58.069,,,,,0:00.000,,,,1:51.534,,,,,,,,,,,,,1:51.396,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,1:57.898,,,,,,,,,
405789,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:51.779,1:51.532,0:00.000,1:51.291,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,1:57.844,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:51.304,0:00.000,,,,,,,,,,,,,,,0:00.000,0:00.000,1:58.027,1:57.561,0:00.000,0:00.000,0:00.000,1:57.474,0:00.000,
476627,,,,,,,,,,,,,,,,,,,1:50.776,1:50.156,1:50.506,0:00.000,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:56.617,1:56.425,1:56.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797003,,,,,,,,,,,,,,,,,,,,1:51.085,1:50.929,,,,,,,,,,,,,,,,,,,,,,,1:57.698,1:57.273,,1:51.021,0:00.000,1:50.897,1:50.570,1:50.779,,,1:50.797,1:50.632,0:00.000,1:50.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104304,,,,1:51.794,1:51.512,,,,,,,,,,,,,,,,,,,0:00.000,,0:00.000,,0:00.000,,,,,,,,,,,,1:57.547,0:00.000,1:57.145,,,,,,,,,,1:52.004,1:51.774,1:51.237,1:51.278,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984727,,,,,0:00.000,1:50.723,0:00.000,1:50.412,0:00.000,,,,,,,,1:50.376,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,1:56.894,0:00.000,0:00.000,,0:00.000,0:00.000,,,,,0:00.000,0:00.000,0:00.000,,0:00.000,0:00.000,0:00.000,1:56.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765325,,,,,,,,,,1:51.383,0:00.000,1:50.183,0:00.000,,,,,,,,,,,,,,1:57.224,1:57.911,0:00.000,0:00.000,1:57.121,1:57.011,1:57.020,,,,,,,,,0:00.000,1:56.823,1:56.968,1:56.769,0:00.000,,,,,,,,,,,0:00.000,0:00.000,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,1:56.611,0:00.000,1:56.567,,,
545196,,,,,,,,,,,1:50.526,1:50.299,1:50.168,,,,1:50.231,,,,,,,,,,,,,,,,,,,,,,,,1:56.516,1:56.403,0:00.000,1:56.376,,,,,,,,,,,,,,,,,,1:50.116,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:56.337,0:00.000,0:00.000,0:00.000,1:56.320,,1:56.460,,,,
302762,,,,,,,,,,,,,1:50.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
